score,Sum,Correct answer,Wrong1,Wrong2,Wrong3
747,13 * 8 =,104,102,108,105
748,14 * 7 =,98,96,102,99
749,15 * 6 =,90,88,94,91
750,16 * 5 =,80,78,84,81
751,17 * 4 =,68,66,72,69
752,5 * 17 =,85,83,89,86
753,6 * 16 =,96,94,100,97
754,7 * 15 =,105,103,109,106
755,10 / 5 =,2,0,6,3
756,8 * 14 =,112,110,116,113
757,9 * 13 =,117,115,121,118
758,12 / 3 =,4,2,8,5
759,10 * 12 =,120,118,124,121
760,11 * 11 =,121,119,125,122
761,12 * 10 =,120,118,124,121
762,13 * 9 =,117,115,121,118
763,14 * 8 =,112,110,116,113
764,15 * 7 =,105,103,109,106
765,16 * 6 =,96,94,100,97
766,17 * 5 =,85,83,89,86
767,6 * 17 =,102,100,106,103
768,7 * 16 =,112,110,116,113
769,8 * 15 =,120,118,124,121
770,9 * 14 =,126,124,130,127
771,10 * 13 =,130,128,134,131
772,11 * 12 =,132,130,136,133
773,12 / 4 =,3,1,7,4
774,12 * 11 =,132,130,136,133
775,13 * 10 =,130,128,134,131
776,14 / 2 =,7,5,11,8
777,14 * 9 =,126,124,130,127
778,15 * 8 =,120,118,124,121
779,16 * 7 =,112,110,116,113
780,17 * 6 =,102,100,106,103
781,7 * 17 =,119,117,123,120
782,8 * 16 =,128,126,132,129
783,9 * 15 =,135,133,139,136
784,10 * 14 =,140,138,144,141
785,11 * 13 =,143,141,147,144
786,12 * 12 =,144,142,148,145
787,13 * 11 =,143,141,147,144
788,14 * 10 =,140,138,144,141
789,15 * 9 =,135,133,139,136
790,16 * 8 =,128,126,132,129
791,17 * 7 =,119,117,123,120
792,8 * 17 =,136,134,140,137
793,9 * 16 =,144,142,148,145
794,10 * 15 =,150,148,154,151
795,11 * 14 =,154,152,158,155
796,12 * 13 =,156,154,160,157
797,13 * 12 =,156,154,160,157
798,14 * 11 =,154,152,158,155
799,15 * 10 =,150,148,154,151
800,16 * 9 =,144,142,148,145
801,17 * 8 =,136,134,140,137
802,9 * 17 =,153,151,157,154
803,10 * 16 =,160,158,164,161
804,11 * 15 =,165,163,169,166
805,12 * 14 =,168,166,172,169
806,12 / 6 =,2,0,6,3
807,13 * 13 =,169,167,173,170
808,14 * 12 =,168,166,172,169
809,15 * 11 =,165,163,169,166
810,15 / 3 =,5,3,9,6
811,16 * 10 =,160,158,164,161
812,16 / 2 =,8,6,12,9
813,17 * 9 =,153,151,157,154
814,10 * 17 =,170,168,174,171
815,11 * 16 =,176,174,180,177
816,12 * 15 =,180,178,184,181
817,13 * 14 =,182,180,186,183
818,14 * 13 =,182,180,186,183
819,15 * 12 =,180,178,184,181
820,16 * 11 =,176,174,180,177
821,17 * 10 =,170,168,174,171
822,11 * 17 =,187,185,191,188
823,12 * 16 =,192,190,196,193
824,13 * 15 =,195,193,199,196
825,14 * 14 =,196,194,200,197
826,15 * 13 =,195,193,199,196
827,16 * 12 =,192,190,196,193
828,17 * 11 =,187,185,191,188
829,12 * 17 =,204,202,208,205
830,13 * 16 =,208,206,212,209
831,14 * 15 =,210,208,214,211
832,15 * 14 =,210,208,214,211
833,16 * 13 =,208,206,212,209
834,17 * 12 =,204,202,208,205
835,13 * 17 =,221,219,225,222
836,14 * 16 =,224,222,228,225
837,15 * 15 =,225,223,229,226
838,16 * 14 =,224,222,228,225
839,17 * 13 =,221,219,225,222
840,14 * 17 =,238,236,242,239
841,15 * 16 =,240,238,244,241
842,16 * 15 =,240,238,244,241
843,15 / 5 =,3,1,7,4
844,17 * 14 =,238,236,242,239
845,16 / 4 =,4,2,8,5
846,15 * 17 =,255,253,259,256
847,16 * 16 =,256,254,260,257
848,17 * 15 =,255,253,259,256
849,16 * 17 =,272,270,276,273
850,17 * 16 =,272,270,276,273
851,17 * 17 =,289,287,293,290
852,14 / 7 =,2,0,6,3
853,16 / 8 =,2,0,6,3
